step,episode,episode_reward,episode_shaped_reward,episode_length,epsilon,fps,avg_loss,avg_q
879592,2081,3220.0,11.431999999999999,475.0,0.0,300.5,0.0,0.0
884544,2091,1800.0,6.04,432.2,0.0,301.0,0.0,0.0
888624,2101,1750.0,6.206,375.6,0.0,301.4,0.0,0.0
893320,2111,3260.0,11.073999999999998,469.3,0.0,301.9,0.0,0.0
897064,2121,2060.0,7.898000000000001,423.8,0.0,302.2,0.0,0.0
901920,2131,2550.0,9.331999999999999,446.6,0.0,289.0,0.0,0.0
906944,2141,3730.0,13.197999999999999,525.2,0.0,289.5,0.0,0.0
912928,2151,4120.0,13.225999999999999,538.1,0.0,290.1,0.0,0.0
918000,2161,4330.0,15.049999999999997,568.6,0.0,290.6,0.0,0.0
923312,2171,4060.0,15.325999999999999,569.5,0.0,291.2,0.0,0.0
928160,2181,3400.0,12.336,450.5,0.0,291.7,0.0,0.0
934928,2191,5300.0,18.892,638.4,0.0,292.4,0.0,0.0
942256,2201,3330.0,13.248000000000001,473.1,0.0,293.1,0.0,0.0
946680,2211,5830.0,17.678,704.3,0.0,293.6,0.0,0.0
952672,2221,4760.0,16.982,598.8,0.0,294.2,0.0,0.0
958736,2231,4050.0,12.706,526.4,0.0,294.8,0.0,0.0
964648,2241,4970.0,18.446,558.8,0.0,295.4,0.0,0.0
973040,2251,5420.0,17.032,805.9,0.0,296.2,0.0,0.0
977784,2261,5180.0,18.762,640.2,0.0,296.7,0.0,0.0
983824,2271,4440.0,15.572,552.2,0.0,297.3,0.0,0.0
990048,2281,4440.0,17.06,544.4,0.0,297.9,0.0,0.0
995672,2291,6730.0,20.426000000000002,751.6,0.0,298.4,0.0,0.0
1001976,2301,3030.0,11.582,475.5,0.0,289.7,0.0,0.0
1007280,2311,5000.0,16.806000000000004,627.8,0.0,290.3,0.0,0.0
1012920,2321,3530.0,11.434000000000001,499.9,0.0,290.8,0.0,0.0
1019752,2331,5550.0,18.601999999999997,677.7,0.0,291.4,0.0,0.0
1025480,2341,5100.0,15.613999999999999,608.2,0.0,291.9,0.0,0.0
1030792,2351,4120.0,13.274000000000001,533.8,0.0,292.5,0.0,0.0
1036000,2361,4400.0,15.338,524.9,0.0,292.9,0.0,0.0
1042448,2371,3870.0,13.028,543.3,0.0,293.5,0.0,0.0
1046496,2381,4740.0,16.358,578.6,0.0,293.9,0.0,0.0
1051440,2391,2470.0,9.354,433.1,0.0,294.3,0.0,0.0
1055632,2401,2680.0,9.690000000000001,445.5,0.0,294.7,0.0,0.0
1060520,2411,3050.0,10.708,480.8,0.0,295.1,0.0,0.0
1067576,2421,3460.0,12.297999999999998,556.3,0.0,295.8,0.0,0.0
1073360,2431,6670.0,19.118000000000002,688.4,0.0,296.3,0.0,0.0
1079400,2442,4963.636363636364,16.30545454545455,610.4545454545455,0.0,296.8,0.0,0.0
1084776,2452,4210.0,13.808000000000002,541.3,0.0,297.3,0.0,0.0
1090792,2462,4410.0,14.421999999999997,524.6,0.0,297.8,0.0,0.0
1095368,2472,3280.0,10.179999999999998,502.5,0.0,298.2,0.0,0.0
1099968,2482,2440.0,6.484,500.2,0.0,298.6,0.0,0.0
1106360,2492,3430.0,10.984,513.7,0.0,292.4,0.0,0.0
1111136,2502,4660.0,13.122,572.1,0.0,292.8,0.0,0.0
1117472,2512,3840.0,11.552000000000001,508.1,0.0,293.4,0.0,0.0
1122264,2522,5310.0,16.706,632.1,0.0,293.8,0.0,0.0
1127640,2532,3990.0,13.959999999999999,529.3,0.0,294.2,0.0,0.0
1134464,2542,5020.0,16.244000000000003,542.0,0.0,294.8,0.0,0.0
1139360,2552,4680.0,16.990000000000002,545.5,0.0,295.2,0.0,0.0
1144456,2562,4760.0,16.080000000000002,546.7,0.0,295.7,0.0,0.0
1152672,2572,6020.0,19.663999999999998,689.1,0.0,296.4,0.0,0.0
1157632,2582,5200.0,18.706,612.4,0.0,296.8,0.0,0.0
1162216,2592,4510.0,14.701999999999998,530.9,0.0,297.2,0.0,0.0
1166760,2602,2910.0,9.606,439.3,0.0,297.5,0.0,0.0
1171904,2612,3530.0,11.344,511.8,0.0,297.9,0.0,0.0
1177848,2622,3940.0,12.524,528.8,0.0,298.4,0.0,0.0
1183528,2632,4400.0,14.410000000000002,576.2,0.0,298.9,0.0,0.0
1188040,2642,3730.0,12.056,498.6,0.0,299.2,0.0,0.0
1193144,2652,3190.0,9.34,488.7,0.0,299.6,0.0,0.0
1198952,2662,3460.0,12.283999999999999,513.1,0.0,300.1,0.0,0.0
1204808,2672,5460.0,18.985999999999997,618.4,0.0,289.2,0.0,0.0
1211936,2682,5380.0,18.985999999999997,663.0,0.0,289.8,0.0,0.0
1217048,2692,4490.0,16.22,535.0,0.0,290.2,0.0,0.0
1221864,2702,4790.0,16.07,578.2,0.0,290.6,0.0,0.0
1228656,2712,5730.0,18.328,619.4,0.0,291.1,0.0,0.0
1233208,2722,3710.0,11.794,506.6,0.0,291.5,0.0,0.0
1238040,2732,2350.0,7.841999999999999,428.3,0.0,291.9,0.0,0.0
1242152,2742,2120.0,7.144,421.1,0.0,292.2,0.0,0.0
1246360,2752,3300.0,10.142,493.9,0.0,292.5,0.0,0.0
1251032,2762,2860.0,9.474,471.3,0.0,292.9,0.0,0.0
1256192,2772,2480.0,8.282,434.1,0.0,293.3,0.0,0.0
1260624,2782,3380.0,11.922,488.7,0.0,293.6,0.0,0.0
1264816,2792,3760.0,13.180000000000001,503.0,0.0,293.9,0.0,0.0
1271328,2802,3250.0,11.654,456.9,0.0,294.4,0.0,0.0
1275920,2812,4360.0,12.947999999999999,535.0,0.0,294.7,0.0,0.0
1279928,2822,2820.0,8.536,448.4,0.0,295.1,0.0,0.0
1284272,2832,2610.0,7.632,436.2,0.0,295.4,0.0,0.0
1288480,2842,2000.0,5.816,385.7,0.0,295.7,0.0,0.0
1292720,2852,2540.0,7.55,478.6,0.0,296.0,0.0,0.0
1298432,2862,3360.0,9.208,473.8,0.0,296.4,0.0,0.0
1303296,2872,3090.0,8.129999999999999,483.8,0.0,290.8,0.0,0.0
1308328,2882,2510.0,5.59,481.9,0.0,291.1,0.0,0.0
1312888,2892,1740.0,4.37,428.5,0.0,291.4,0.0,0.0
1317848,2902,2830.0,7.644,563.9,0.0,291.8,0.0,0.0
1325480,2912,4140.0,12.215999999999998,673.9,0.0,292.4,0.0,0.0
1330800,2922,3610.0,10.884,547.2,0.0,292.7,0.0,0.0
1335392,2932,4030.0,12.035999999999998,574.7,0.0,293.0,0.0,0.0
1340752,2942,4420.0,13.670000000000002,514.5,0.0,293.4,0.0,0.0
1344904,2952,3000.0,10.312000000000001,491.4,0.0,293.7,0.0,0.0
1350416,2962,2590.0,8.66,448.1,0.0,294.1,0.0,0.0
1355624,2972,3680.0,11.458,552.1,0.0,294.5,0.0,0.0
1361144,2982,3490.0,10.842,490.3,0.0,294.9,0.0,0.0
1365952,2992,3860.0,11.0,512.7,0.0,295.2,0.0,0.0
1371984,3002,3060.0,8.782,477.6,0.0,295.6,0.0,0.0
1377784,3012,5160.0,15.912000000000003,624.9,0.0,296.0,0.0,0.0
1384208,3022,5630.0,18.208,634.6,0.0,296.5,0.0,0.0
1390648,3032,4900.0,15.545999999999998,595.9,0.0,296.9,0.0,0.0
1396112,3042,5320.0,16.708,602.6,0.0,297.2,0.0,0.0
1401560,3052,4900.0,15.758000000000001,602.2,0.0,286.9,0.0,0.0
1406312,3062,3790.0,13.024000000000001,503.0,0.0,287.2,0.0,0.0
1413088,3072,5890.0,16.552,675.7,0.0,287.7,0.0,0.0
1419784,3082,5710.0,17.198,660.3,0.0,288.2,0.0,0.0
1426296,3092,5360.0,17.006,602.5,0.0,288.6,0.0,0.0
1431168,3102,3700.0,14.368,544.1,0.0,289.0,0.0,0.0
1437952,3112,5250.0,17.086,621.2,0.0,289.4,0.0,0.0
1442680,3122,4470.0,15.437999999999999,587.9,0.0,289.7,0.0,0.0
1450672,3132,5240.0,16.576,585.7,0.0,290.3,0.0,0.0
1456728,3142,6630.0,18.926,704.6,0.0,290.7,0.0,0.0
1461440,3152,4680.0,15.430000000000001,561.9,0.0,291.0,0.0,0.0
1467136,3162,4260.0,13.335999999999999,522.8,0.0,291.3,0.0,0.0
1474168,3173,5563.636363636364,17.778181818181817,655.7272727272727,0.0,291.8,0.0,0.0
1478920,3183,3720.0,12.702,518.2,0.0,292.1,0.0,0.0
1484272,3193,3580.0,14.008,487.3,0.0,292.4,0.0,0.0
1492160,3203,6402.0,18.856,637.0,0.0,292.9,0.0,0.0
1496712,3213,5670.0,15.935999999999998,671.1,0.0,293.2,0.0,0.0
1504720,3223,5610.0,18.098000000000003,671.5,0.0,283.4,0.0,0.0
1510008,3233,5430.0,18.036,598.4,0.0,283.8,0.0,0.0
1516608,3243,5690.0,18.383999999999997,619.4,0.0,284.2,0.0,0.0
1522784,3253,5550.0,19.069999999999997,654.0,0.0,284.6,0.0,0.0
1528392,3263,5210.0,17.904,627.8,0.0,285.0,0.0,0.0
1534312,3273,4480.0,15.644,540.8,0.0,285.3,0.0,0.0
1540088,3284,5890.909090909091,16.267272727272726,576.2727272727273,0.0,285.7,0.0,0.0
1547192,3294,4850.0,15.276,615.4,0.0,286.2,0.0,0.0
1551752,3304,3580.0,11.488,507.0,0.0,286.5,0.0,0.0
1557536,3314,4820.0,15.464000000000002,567.9,0.0,286.8,0.0,0.0
1562896,3324,3420.0,10.668,506.2,0.0,287.2,0.0,0.0
1567416,3334,3440.0,10.854,528.6,0.0,287.5,0.0,0.0
1572864,3344,2600.0,7.073999999999998,467.0,0.0,287.8,0.0,0.0
1576840,3354,3740.0,11.64,521.4,0.0,288.0,0.0,0.0
1582376,3364,3650.0,11.105999999999998,553.8,0.0,288.4,0.0,0.0
1588040,3374,3620.0,10.794,510.6,0.0,288.7,0.0,0.0
1594840,3384,4320.0,13.468,576.6,0.0,289.1,0.0,0.0
1601992,3394,3560.0,11.516,518.4,0.0,280.9,0.0,0.0
1606528,3404,6270.0,18.753999999999998,670.8,0.0,281.2,0.0,0.0
1613848,3414,6586.0,17.398,632.9,0.0,281.6,0.0,0.0
1619576,3424,6320.0,16.573999999999998,688.7,0.0,282.0,0.0,0.0
1625520,3434,4950.0,15.304000000000002,605.3,0.0,282.3,0.0,0.0
1631416,3444,3720.0,11.438,519.9,0.0,282.7,0.0,0.0
1636992,3454,4892.0,14.264000000000001,611.0,0.0,283.0,0.0,0.0
1640896,3464,3590.0,9.581999999999999,505.1,0.0,283.2,0.0,0.0
1647272,3474,3750.0,13.969999999999999,527.8,0.0,283.6,0.0,0.0
1652944,3484,5634.0,14.84,596.7,0.0,284.0,0.0,0.0
1658400,3494,4490.0,15.097999999999999,525.7,0.0,284.3,0.0,0.0
1662984,3504,2790.0,8.402,471.1,0.0,284.5,0.0,0.0
1666784,3514,2270.0,7.8420000000000005,451.5,0.0,284.8,0.0,0.0
1670576,3524,1540.0,5.24,393.5,0.0,285.0,0.0,0.0
1675040,3534,1620.0,6.57,425.9,0.0,285.3,0.0,0.0
1679480,3544,1290.0,5.96,369.1,0.0,285.5,0.0,0.0
1683024,3554,2000.0,7.800000000000002,389.4,0.0,285.7,0.0,0.0
1687648,3564,3210.0,10.528000000000002,454.8,0.0,286.0,0.0,0.0
1692272,3574,4336.0,9.282,478.8,0.0,286.2,0.0,0.0
1696280,3584,2390.0,7.453999999999999,429.8,0.0,286.5,0.0,0.0
1701448,3594,2820.0,9.466,464.4,0.0,280.9,0.0,0.0
1706680,3604,2990.0,10.254,470.1,0.0,281.2,0.0,0.0
1712600,3614,6068.0,17.232000000000003,616.4,0.0,281.5,0.0,0.0
1717592,3624,5982.0,18.407999999999998,575.2,0.0,281.8,0.0,0.0
1721784,3634,2920.0,11.379999999999999,431.1,0.0,282.1,0.0,0.0
1728792,3644,6570.0,19.162,589.2,0.0,282.5,0.0,0.0
1732384,3654,3100.0,12.718,479.2,0.0,282.7,0.0,0.0
1737640,3664,2140.0,8.476,409.1,0.0,283.0,0.0,0.0
1744208,3674,6142.0,18.87,643.9,0.0,283.4,0.0,0.0
1749288,3684,5280.0,17.598,612.5,0.0,283.6,0.0,0.0
1755744,3694,3820.0,13.592000000000002,497.2,0.0,284.0,0.0,0.0
1761184,3704,5670.0,18.017999999999997,632.0,0.0,284.3,0.0,0.0
1768600,3714,8992.0,21.342,736.6,0.0,284.7,0.0,0.0
1774952,3724,7078.0,17.72,681.6,0.0,285.1,0.0,0.0
1781072,3734,4940.0,15.469999999999999,589.8,0.0,285.5,0.0,0.0
